q,a1,a2,a3,a4
ベルトコンベアがあるステージは？,ギャブ谷センター街,ペラペラ摩天楼タワー,ベルトコンベア道場,大監獄ネコネコプリズン
巨大ネコー玉があるステージは？,ド根性クライミング横丁,ネコ山ブロードウェイ～第二章,オートロック広場,巨大ネコー玉スクエア
シーソーがあるステージは？,巨大ネコー玉スクエア～第二章,封鎖されしネコネコブリッジ～第二章,グラグラシーソーさん橋～第二章,オートロック広場～第二章
コネコーファイターがあるステージは？,ド根性クライミング横丁～第二章,デンジャラス大金ゾーン～第二章,ネコ山ブロードウェイ～第二章,テイクオフ国際空港
落ちたらすぐ脱落のステージは？,デンジャラス大金ゾーン～第二章,最後のサバイバル!激闘編,鍵探しウロウロ公園,超巨大ネコネコウォール～第三章
下克上ボタンがあるステージは？,グラグラシーソーさん橋～第三章,超巨大ネコネコウォール,ネコちゃんキャットタワー～第二章,地獄のサバイバルロード
夜のステージは？,ギャブ谷センター街,グラグラシーソーさん橋～第二章,巨大要塞ネコベガス,ネコちゃんキャットタワー～第二章
「鍵を取るのじゃ!」の文字があるステージは？,ギャブ谷センター街,スクランブル1号線,鍵探しウロウロ公園,引っ越しニュータウン
ネバネバボムの効果は？,踏んだら爆発する,移動速度を上げる,移動速度を下げる,移動不可能になる
宇宙の武器庫に入るため、必要な条件は？,宇宙の鍵を持っている,有料版を購入する,ランダム,3キル達成
コインブースターの効果は、獲得コイン数を何倍にする？,2,2.5,3,1.5
定価が一番安いアイテムは？,コインブースター,紙吹雪,ひらめきカード,バナナ
200コインで買えるアイテムは？,高級な鍵,オーバーオール,超ひらめきカード,地雷
存在しないOSTは？,Shoot Down The Losers!,夢の無限回廊,人生は滑り台,悔い図
歌詞があるOST、聴ける可能性がある状況は？,優勝者発表画面,マッチング中,負け組ゴール後,観戦車モード
ROUND1のゴール手前に、500コインは何枚ある？,0,2,1,3
初期状態のランクは？,30,15,20,25
ラミィちゃんのボイス付きセリフは？,さあ!今日もはじまりますよ～!生き残りをかけてクイズに答えるのじゃ!,やったのじゃ!,ラミィラミィラミィラミィ,お店でアイテムを買ってパワーアップするのじゃ!お買い得商品があるかもしれませんよ!
負け組、チャンスクイズを正解したらどうなる？,スタミナは全部回復され、一定時間上限が2倍になる,スタミナは全部回復され、一定時間回復速度が2倍になる,一定時間移動速度が上がる,一定時間コインロストしない
エモートはどうやって貰える？,最初から全部使える,ミッションをクリアする,課金,ステージ内で拾う
鍵なくても使える武器は？,バズーカ,ツナマシンガン,爆弾,キングコブラ
ネコーショッピングセンターでできないことは？,他のギャーくんを邪魔する,上位ギャーくんの所持コイン数を見る,クイズを答える,コインを稼ぐ
ぐるぐるバーにぶっ飛ばされる行為は？,ジャンプで避ける,タイミングを計算して通過する,ほふくで通過する,ダッシュでぶつかる
観戦車モードでできないことは？,紙吹雪を使う,優勝を取る,コインを投げる,他のギャーくんのやり方を見る
"City紹介でステージを当てる「「ベルトコンベア道」という武道を学べる道場
門下生はここで地獄のベルトコンベア特訓を行っている。
ベルトコンベアに足を取られてるところに戦闘機が突っ込んでくるカオスなコースとなっ
ています」",ネコー建設本社ビル,ペラペラ摩天楼タワー,ベルトコンベア道場,地獄のサバイバルロード
