q,a1,a2,a3,a4
ROUND1、移動床があるステージは？,ずっこけボヨヨン横丁,スクランブル1号線,地獄のサバイバルロード,引っ越しニュータウン
ROUND1、ベルトコンベアがあるステージは？,ずっこけボヨヨン横丁,キャンストップ歩行者天国,スクランブル1号線,鍵探しウロウロ公園
ROUND1、回転床があるステージは？,ずっこけボヨヨン横丁,キャンストップ歩行者天国,地獄のサバイバルロード,引っ越しニュータウン
ROUND1、ボタンと動かせる足場があるステージは？,ずっこけボヨヨン横丁,ギャブ谷センター街,スクランブル1号線,引っ越しニュータウン
ROUND1、トランポリンがあるステージは？,ずっこけボヨヨン横丁,キャンストップ歩行者天国,地獄のサバイバルロード,鍵探しウロウロ公園
存在しないステージは？,ふたまたネコー美術館～第二章,ギャブ谷センター街～第二章,ゴールデンシーソー街～第二章,ネコちゃんキャットタワー～第二章
「NAZE TATAKAUNO DESUKA？」の文字があるステージは？,キャンストップ歩行者天国,ネコー建設本社ビル～第二章,ベルトコンベア道場～第二章,最後のサバイバル!純情編
ゴールのアーチ、3つもあるステージは？,キャンストップ歩行者天国,ゴールデンシーソー街～第三章,ペラペラ摩天楼タワー～第二章,恋の駆け引きマウンテン～第二章
ミナギールの効果は？,スタミナの上限を増やす,スタミナを回復する,スタミナ回復速度を上げる,移動速度を上げる
モテモテヘアーEXの効果は、持てるアイテムの数を何個にする？,2,3,4,5
ギャーくんの外見から分からないのは？,ぶっとび時の落下速度,リロード速度,持てるアイテムの数,武器の所持弾薬数
高級な鍵の定価は？,1000,1500,2000,500
伝説の鍵の定価は？,10000,2000,3000,4000
ペラペラ摩天楼タワーのテーマは？,2022のホシとオンガク,Dark Side Death Dance,みんなで狙い撃ち♪,ファイナルクイズウォーズ
ネコちゃんキャットタワーのテーマは？,イッツ・ア・ビューティフルシティ,人生は美しい,夢はかなうんよ,狂喜の貯金残高5兆円
下克上ボタンの上に、なんコインある？,100,1000,500,5000
ランク2は何色？,オレンジ,ピンク,灰色,緑
ネコーとギャーくんの関係は？,まだ解明されていない,アイドルとファン,サイエンティストと実験体,飼い主とペット
チャンスタイムは何秒？,10,15,20,5
存在しないエモートは？,Bonjour,Hi,あーあ,こちらっ
マシンガンより、ヘビーマシンガンは？,弾薬数が少ない,移動速度を下げることができる,連射速度が早い,飛ばせる距離が長い
負け組ショップでは出現しないアイテムは？,コインブースター,バナナ,地雷,紙吹雪
乗ると崩れる床、1人目のギャーくんが乗ったあと、崩れるまで何秒かかる？,1,2,4,8
観戦車の色はどうやって決められた？,フォロワー数,ランダム,脱落順,運転手の色
"City紹介でステージを当てる「サバイバルクイズシティと空港を繋ぐ巨大な橋。
デートスポットとして有名だが常に封鎖されています。
カップル同士が協力してボタンを押さないと橋の封鎖が解除されないという伝説あり」",スクランブル1号線,ペラペラ摩天楼タワー～第二章,大監獄ネコネコプリズン,封鎖されしネコネコブリッジ
