q,a1,a2,a3,a4
攻撃すると壊れる床がないステージは？,ネコッサンス宮殿,ネコーフェス国際展示場～第三章,大監獄ネコネコプリズン～第三章,巨大要塞ネコベガス～第二章
コネコーファイターがないステージは？,ネコッサンス宮殿～第二章,ネコポタミア大遺跡～第二章,巨大要塞ネコベガス～第三章,空中都市ネコランティス～第三章
クイズ会場を除き、坂道がないステージは？,ネコポタミア大遺跡,ネコーフェス国際展示場～第二章,巨大要塞ネコベガス,超巨大ネコネコウォール～第二章
ぐるぐるバーがあるステージは？,最後のサバイバル!伝説編,最後のサバイバル!純情編,最後のサバイバル!終焉編,最後のサバイバル!青春編
"勝ち組エリアにある、ジャンプキーを押すと別の場所に飛ばされるギミック、
負け組エリアにもあるステージは？",存在しない,空中都市ネコランティス,空中都市ネコランティス～第三章,空中都市ネコランティス～第二章
巨大ネコー玉がない選択肢は？,巨大ネコー玉スクエア,巨大ネコー玉スクエア～第三章,巨大ネコー玉スクエア～第二章,該当なし
空が青緑色のステージは？,グラグラシーソーさん橋,ゴールデンシーソー街,テイクオフ国際空港～第二章,ド根性クライミング横丁～第三章
壁の中に、ネコーとギャーくんのパッペトショーがあるステージは？,オートロック広場～第二章,ネコ山ブロードウェイ～第三章,ベルトコンベア道場～第二章,封鎖されしネコネコブリッジ～第二章
壁登り中、地雷を踏んだらどうなる？,スタミナが減る,スタミナが減る+吹き飛ばされる,動けなくなる,吹き飛ばされる
高級な保険の効果は、コインロストを所持コインのなん%にする？,10,15,20,25
"デカクナールAのフルスタミナで壁を掴んでいるギャーくん、
チャンスクイズがない場合、約何秒後息切れ状態になる？",12,15,18,21
ローラースケートの定価は？,5500,5700,6000,6300
高級な保険の定価は？,1200,1500,1700,2000
歌詞があるOSTは？,ここは穏やかな世界,ギャーくんのうた,抜け駆けマーチ,負け犬の叫び
どれがもう一度スターライトの歌詞？,「僕は生まれ変わる心ごと」,「燃え尽きるそれこそが薔薇の宿命」,「答えはあなたの中だけにある」,「静かな夜に迷い何かを叫んで」
5000コインがないステージは？,ふたまたネコー美術館,大監獄ネコネコプリズン～第二章,恋の駆け引きマウンテン～第三章,空中都市ネコランティス～第二章
ランク4になるため、必要なフォロワー数は？,6000,7000,8000,9000
スーパーキャンディーちゃんの体は何色？,ピンク,水色,緑,黄色
チャンスクイズのボタンは何色？,オレンジと緑,オレンジと青,赤と緑,赤と青
エモートの外腹斜筋ストレッチ、獲得条件は？,インテリ度300を達成,シティランク16に到達,ムキムキ度300を達成,ランクマッチに10回参加した
宇宙の武器庫にあるゲロゲロガンの名前は？,クアンタムゲロゲロガン,ロボゲロゲロガン,宇宙ゲロゲロガン,放射線ゲロゲロガン
伝説のショップ、アイテムは一度に何種類が出現する？,10,11,12,13
動かせる足場、コース外に落ちるとどうなる？,10秒後再び出現する,5秒後再び出現する,何も起きない,落ちない
観戦車について正しいのは？,サイドミラーがない,デカクナールを買ったら大きくなる,ブレーキライトが機能している,席の色は運転手の色と同じ
