q,a1,a2,a3,a4
テイクオフ国際空港～第二章に、移動床はいくつある？,12,8,10,16
デンジャラス大金ゾーン～第三章に、乗ると崩れる床はいくつある？,12,8,10,16
ネコ山ブロードウェイに、トランポリンはいくつある？,4,5,6,7
ネコーフェス国際展示場～第三章に、動かせる足場はいくつある？,4,5,3,6
恋の駆け引きマウンテン～第三章、ゴール手前にある巨大ネコー玉射出口、1つは何秒1発？,30,15,20,25
ド根性クライミング横丁～第三章の時間制限は何秒？,100,70,80,90
動くネコーがいるステージは？,ネコーフェス国際展示場,恋の駆け引きマウンテン,ネコー建設本社ビル,空中都市ネコランティス
"超巨大ネコネコウォール～第二章、右ルート最後のぐるぐるバーの右にあるビル、
その上にあるものは？",刺,バーガー,ギター,看板
モクモクボムの効果持続時間は何秒？,10,15,20,25
弾薬メガネA適用中、柄ゲロゲロガンの弾薬数は？,50,35,65,80
高級なほふくのスピードは、約1秒何メートル？,4,2,8,6
割高の可愛いスカンクの価格は？,4000,5000,3900,3000
ちょい高の伝説のほふくの価格は？,4000,3300,3600,3900
歌詞で曲名を当てる「誰も知らない夜を泳いて」,ロンリー,あったかいまいにち,ひとりで生きていけないほど,クイズ戦士たち
サバイバルルールのFinalRoundに流れないOSTは？,オアシスと蜃気楼,サバイバルクイズシティ Remix,クイズスピリット,夢はかなうんよ
ネコちゃんキャットタワーの1段目に、1000コインは何枚ある？,21,12,15,23
ランク15の称号は？,シティ通行人,シティ名人,シティ玄人,シティ常連
ネコー軍団の社宅は？,ネコちゃんキャットタワー,デンジャラス大金ゾーン,ネコッサンス宮殿,引っ越しニュータウン
アクションの部分開始後何もしない場合、チャンスクイズは何秒後くる？,50,70,60,80
エモートの外腹斜筋ストレッチ、周期は約何秒？,5,9,7,11
攻撃すると壊れる床を壊すには、柄ヘビーマシンガンなん発必要？,5,8,6,7
ネコーショッピングセンターに、ぐるぐるバーはいくつある？,12,9,10,11
"ゲーム中、速さvの移動床から、
加速度aでジャンプしたギャーくんが1秒後、最高点に達した時、
移動床から見たギャーくんの速さは？",0,v + a,v,v - a
観戦車、出現する可能性がない選択肢は？,該当なし,優勝者発表画面,ペラペラ摩天楼タワー～第二章,鍵探しウロウロ公園
City紹介でステージを当てる「日々厳しいオーディションが繰り広げられている。」,ゴールデンシーソー街,テイクオフ国際空港,ネコ山ブロードウェイ,オートロック広場
