q,a1,a2,a3,a4
"⇒━━━┳┳━┳━━━━━━┳━ A
━━━━┻┻━┻━┳━━━┳┻━ B
━━━━━━┳━━┻━━━┻┳━ C
━━━━━━┻━━━━━━━┻━ D",A,B,C,D
"⇒━┳━━┳━━━━━━━━┳┳ A
━━┻━┳┻┳━━━━━━━┻┻ B
━━━━┻━┻━┳━━━━┳━━ C
━━━━━━━━┻━━━━┻━━ D",A,B,C,D
"⇒┳━━━━━━━━━━┳━━━ A
━┻┳━┳━━┳━━━━┻━━━ B
━━┻━┻━┳┻━┳━━━━━┳ C
━━━━━━┻━━┻━━━━━┻ D",A,B,C,D
"⇒━━┳━━┳━━┳━━━━━━ A
━━━┻━━┻┳━┻┳━━━┳━ B
━━━━━━┳┻━━┻━━┳┻━ C
━━━━━━┻━━━━━━┻━━ D",A,B,C,D
"━━┳━┳━━━━━━━━━┳━ A
⇒━┻┳┻━━━┳━━━┳━┻━ B
━━━┻━━┳━┻━━━┻━┳━ C
━━━━━━┻━━━━━━━┻━ D",A,B,C,D
"━━━┳━━━━━━━━┳━━━ A
⇒┳━┻━━━┳━━━┳┻━┳━ B
━┻━━┳━┳┻━━━┻━━┻━ C
━━━━┻━┻━━━━━━━━━ D",A,B,C,D
"━━━┳━━┳━━━━┳┳━━━ A
⇒━━┻━━┻━┳━━┻┻━┳━ B
━━━━━━━━┻━┳━━━┻┳ C
━━━━━━━━━━┻━━━━┻ D",A,B,C,D
"━━━━━━┳━━━━━━┳━━ A
⇒━━━┳━┻━━┳┳━━┻━━ B
━━━━┻━┳━┳┻┻━━━┳━ C
━━━━━━┻━┻━━━━━┻━ D",A,B,C,D
"━━━━━━┳━┳━━━━━┳━ A
━━━━┳━┻━┻┳┳━━━┻━ B
⇒━━━┻━┳━━┻┻━━┳━━ C
━━━━━━┻━━━━━━┻━━ D",A,B,C,D
"━━━━━━━━━━┳━━━━┳ A
━━━━━━━━┳━┻━━━┳┻ B
⇒━━┳━━┳━┻━━┳┳━┻━ C
━━━┻━━┻━━━━┻┻━━━ D",A,B,C,D
"━━━━┳━┳━━━━━━━━━ A
━┳━━┻━┻┳━━━┳━━┳━ B
⇒┻━┳━━━┻━━━┻┳━┻━ C
━━━┻━━━━━━━━┻━━━ D",A,B,C,D
"━━━━━━┳━━━━━━━┳━ A
━━━┳━━┻━┳━━━┳━┻━ B
⇒━┳┻┳━━━┻━━━┻━┳━ C
━━┻━┻━━━━━━━━━┻━ D",A,B,C,D
"━━━━━━┳━━━━━━┳━━ A
━━━━━━┻┳━━┳━━┻┳━ B
━━━┳━━┳┻━┳┻━━━┻━ C
⇒━━┻━━┻━━┻━━━━━━ D",A,B,C,D
"━━━━━━┳━━┳━━━━━┳ A
━━┳━┳━┻┳━┻━━━━━┻ B
━┳┻━┻━━┻━━━━┳━━━ C
⇒┻━━━━━━━━━━┻━━━ D",A,B,C,D
"━━━━━━━━┳━━━━┳━━ A
━━━━┳━┳━┻━━━━┻━━ B
━━┳━┻┳┻━━━━━━━┳┳ C
⇒━┻━━┻━━━━━━━━┻┻ D",A,B,C,D
"━━━━━━┳━━━━━━━┳━ A
━━━━━━┻━━┳━━━┳┻━ B
━━━━┳┳━┳━┻━━━┻┳━ C
⇒━━━┻┻━┻━━━━━━┻━ D",A,B,C,D
