q,a1,a2,a3,a4
"河野初雪は、白咲学園3年生。 進学校には珍しい不良学生。
卒業が危ないと言われ、今日もイヤイヤ授業に顔を出す。",はつゆきさくら,ゴア・スクリーミング・ショウ,ハナヒメ＊アブソリュート！,虚ノ少女
"―明晰夢―　夢の中で 「これは夢だ」 と気づいてしまう夢のこと。
内藤透はある事故を境に、夢の全てを明晰夢として見るようになってしまった。
本来睡眠はゆっくり休むためのもの。 
しかし彼は寝ても覚めても休めなくなってしまう。",はつゆきさくら,ゴア・スクリーミング・ショウ,ハピメア,恋剣乙女
"両親の渡米を機に、
俺は数年ぶりに生まれ故郷の田舎町『呉仁（くれひと）町』に帰ってきた。
そこで俺は、それぞれ縁のあった３人の少女たちと再会する。",はつゆきさくら,ゴア・スクリーミング・ショウ,ハピメア Fragmentation Dream,恋剣乙女
"―明晰夢―　夢の中で 「これは夢だ」 と気づいてしまう夢のこと。
内藤透はある事故を境に、夢のすべてを明晰夢として見るようになってしまった。
だがしかし、冬に起きたある事件をきっかけにその事故の残したものと向き合い、
幸せな悪夢は終わりを告げた。",はつゆきさくら,ハピメア Fragmentation Dream,恋剣乙女,虚ノ少女
"2025年――
王子たちと姫たちの戦いを描くソーシャルゲーム 『クラウンハーツ』 が大ヒットし、
プロゲーマーがスポーツ選手と同じように人気の世界。",ハナヒメ＊アブソリュート！,ハピメア,ハピメア Fragmentation Dream,殻ノ少女
"導力使いが通う超エリート校 『樫ノ森学園』 に入学する主人公・大場誠一。
最強の導力を持ちながら未だ発現しない能力―― それを揶揄されながらも過ごす中、
様々な境遇を持つヒロインたちと出会い、共に切磋琢磨するようになる。",ハナヒメ＊アブソリュート！,ハピメア,恋剣乙女,殻ノ少女
"昭和三十一年、三月。敗戦から十年が過ぎ、在りし日の姿を取り戻しつつある街、
東京。
私立探偵の時坂玲人は、井の頭公園にてひとりの少女から変わった依頼を受ける。",ハピメア,ハピメア Fragmentation Dream,殻ノ少女,虚ノ少女
"日本が戦争への道を歩み始めた、所謂戦前と呼ばれた時代。
北陸の雪深い山中に 人形（ヒトガタ） と云う集落があった。",ゴア・スクリーミング・ショウ,ハナヒメ＊アブソリュート！,殻ノ少女,虚ノ少女
"昭和三十三年、一月。
珍しく雪が多く、とても寒い年だった。その日灰色の雪が舞う中、
少女の葬儀は執り行われた。",STEINS；GATE,ナツユメナギサ,天ノ少女,幻創のイデア ～Oratorio Phantasm Historia～
曰く―― 「Life is a series of choices. （人生とは決断の連続である）」。,ナツユメナギサ,ロイヤルガーデン ～乙女に恋する皇子の戯曲～,双子座のパラドクス,天ノ少女
"舞台は常夏の街、臨海副都心『hope』。
ヒマワリと夏の花が街中に植えられ、美しい蝶のような妖精が舞い、ときどき、
野良ペンギンが街中を歩く不思議な人工島。
白波学園2年生『渚』は、街の浜辺に流れ着いた、過去を持たない少年。",キサラギGOLD★STAR,ナツユメナギサ,双子座のパラドクス,天ノ少女
