q,a1,a2,a3,a4
r'^hello world$',HELLO_WORLD,^$,^hello world$,hello world
r'^\xab\solute wi\sh$',& olute wi h,abolute wih,xabsolute wish,« olute wi h
r'^https://twitter.com/home$',com/home,https://twitter.com,https://twitterOcom/home,twitter.com
r'^[sqc]$',Q,[sqc],q,sqc
r'^(boiled|wotah)$',boiled_wotah,boiledwotah,boiled|wotah,wotah
r'^python*2$',pytho2,python*2,pythonn,pythonpython
r'^encounter+$',encounteR,encounter,encounter+,encounter+$
r'^\Distorte\d P[a-i]n$',0istorted Pan,Distorte1 P-n,Distorte2 Pen,\Distorte\d Pin
r'^(?!Sonic) (?#Mania)$',,!Sonic #Mania,?#Mania,Sonic
"r'^GYA{2,5}R$'",GYA2R,GYAAAAAAAAR,GYAAAAR,GYAR
r'^[^django]$',Flask,^,d,django
"r'^[linux]{3,4}$'",linux,linux4,u,unix
r'^[OH][^MY][JULIET.]$',HM.,Hey,Hi.,OMG
r'^Java.+$',I love Java,Java,JavaScript,Oak
r'^c+[+]$',c,c++,c+[+],cccc+
